SUID,name,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,Eccentricity,EdgeCount,Indegree,IsSingleNode,,NeighborhoodConnectivity,Outdegree,PartnerOfMultiEdgedNodePairs,selected,SelfLoops,shared name,Stress
6804,TGFB2,0,0,0,0,4,4,FALSE,,6.5,0,0,FALSE,0,TGFB2,0
6816,BACH2,0,0.23991935,0,6,2,0,FALSE,,26,2,0,FALSE,0,BACH2,0
6820,BARX2,0,0.31070496,0,5,1,0,FALSE,,40,1,0,FALSE,0,BARX2,0
6826,KRT5,0,0,0.16666667,0,3,3,FALSE,,34.33333333,0,0,FALSE,0,KRT5,0
6831,MMP9,0,0,0.05208333,0,33,33,FALSE,,15.57575758,0,0,FALSE,0,MMP9,0
6848,DENND4A,0,1,0,1,1,0,FALSE,,29,1,0,FALSE,0,DENND4A,0
6861,EHMT2,0,0.22623574,0,6,2,0,FALSE,,17,2,0,FALSE,0,EHMT2,0
6865,ELF3,0,1,0.5,1,3,2,FALSE,,45,1,0,FALSE,0,ELF3,0
6886,CXCL12,0,0,0.1,0,6,6,FALSE,,31.83333333,0,0,FALSE,0,CXCL12,0
6890,KRT19,0,0,0.33333333,0,3,3,FALSE,,34,0,0,FALSE,0,KRT19,0
6918,FOXF2,0,1,0,1,1,0,FALSE,,6,1,0,FALSE,0,FOXF2,0
6926,GABPA,0,1,0.33333333,1,3,2,FALSE,,17.33333333,1,0,FALSE,0,GABPA,0
6956,HMGN1,0,0.28266033,0,5,1,0,FALSE,,38,1,0,FALSE,0,HMGN1,0
6960,HOXA1,0,0.27107062,0.16666667,6,3,0,FALSE,,43.66666667,3,0,FALSE,0,HOXA1,0
6962,HOXA5,0,0.28199052,0,5,1,0,FALSE,,13,1,0,FALSE,0,HOXA5,0
6966,HSF2,0,0.30829016,0,5,2,0,FALSE,,34,2,0,FALSE,0,HSF2,0
6968,IKBKB,0,0.32075472,0,5,2,0,FALSE,,48.5,2,0,FALSE,0,IKBKB,0
6972,ING2,0,1,0,1,1,0,FALSE,,46,1,0,FALSE,0,ING2,0
6986,KDM4B,0,0.33055556,0.5,5,2,0,FALSE,,47.5,2,0,FALSE,0,KDM4B,0
6998,KLF8,0,1,0.5,1,2,1,FALSE,,40.5,1,0,FALSE,0,KLF8,0
7005,LMO4,0,0.33714286,0.66666667,5,4,1,FALSE,,35.5,3,0,FALSE,0,LMO4,0
7007,MAL,0,1,0,1,1,0,FALSE,,33,1,0,FALSE,0,MAL,0
7011,MAZ,0,1,0,1,1,0,FALSE,,33,1,0,FALSE,0,MAZ,0
7018,MSX2,0,0.25373134,0,6,2,0,FALSE,,27,2,0,FALSE,0,MSX2,0
7033,NCOA3,0,0.2960199,0,5,3,0,FALSE,,40.33333333,3,0,FALSE,0,NCOA3,0
